     h                           derivada simétrica 3 pontos     derivada para frente 2 pontos      derivada para trás 2 pontos     derivada segunda simétrica 3 pontos     derivada segunda simétrica 5 pontos     derivada terceira anti-simétrica 5 pontos
  0.50000000000000000       0.10685281944005476       0.14000725849147100       0.35371289737158051        2.7440311726103062E-002   3.8083267292325140E-002   1.0928683356301832     
  0.20000000000000001        1.8503940709211686E-002   7.8162843215790034E-002  0.11517072463421341        6.6678392500167938E-003   1.8277992031834334E-003  0.20222918699597248     
  0.10000000000000001        4.6765268515643887E-003   4.3411484337507855E-002   5.2764538040636522E-002   1.7602237814435817E-003   1.2435195858728765E-004   5.0517228470542630E-002
   5.0000000000000003E-002   1.1722835239438290E-003   2.2838866623503096E-002   2.5183433671390643E-002   4.4600589788568179E-004   7.9332700237966236E-006   1.2605337903552893E-002
   1.0000000000000000E-002   4.6931653958304231E-005   4.7531579300659210E-003   4.8470212379824185E-003   1.7916804556428190E-005   1.2775926316876962E-008   5.0382506229640356E-004
   5.0000000000000001E-003   1.1733228374333216E-005   2.3882779711332791E-003   2.4117444278819455E-003   4.4798041551885603E-006   8.0032058757950608E-010   1.2595328675990558E-004
   1.0000000000000000E-003   4.6933316055763896E-007   4.7953075645934540E-004   4.8046942278046068E-004   1.7923980610845547E-007   1.2802425786162530E-011   5.0211335791416900E-006
   5.0000000000000001E-004   1.1733342564212990E-007   2.3988267780006289E-004   2.4011734465134715E-004   4.4791797826349011E-008   8.6817331101940454E-011   2.1206759273084685E-006
   1.0000000000000000E-004   4.6935004771597733E-009   4.7995306030168550E-005   4.8004693031122869E-005   9.3870857753586279E-009   1.6788572754222741E-008   2.5647651371585312E-006
   5.0000000000000002E-005   1.1732608218295582E-009   2.3998828169835562E-005   2.4001174691479221E-005   5.7226295702150765E-008   7.9430756083631593E-008   1.9172426417224386E-004
   1.0000000000000001E-005   4.0833447734200945E-011   4.7999584534830220E-006   4.8000401203784904E-006   1.4261384884139972E-007   2.2746049266331170E-007  0.11221322744884965     
   9.9999999999999995E-007   2.3004487204048019E-011   4.8000017360827485E-007   4.7995416463386675E-007   4.5661757858361796E-005   1.0117290908961962E-004   94.328514654701209     
   9.9999999999999995E-008   5.5036042390099738E-010   4.8428728360860873E-008   4.7328007513058878E-008   5.2081988223652287E-003   5.2081988223653397E-003   111019.48646251568     
   1.0000000000000000E-008   3.7422516196983224E-009   7.9055879620426595E-009   4.2108472264601460E-010  0.15022302462515635       0.21985131691656234        83266724.030886725     
